,Cities,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
0,bluff,0,22,-23.58,70.14,4.83
1,san quintin,75,94,17.54,82.4,9.17
2,fukue,75,70,35.03,87.8,4.7
3,rikitea,56,100,-23.12,73.65,14.45
4,tiznit,0,95,29.7,67.44,2.93
5,necochea,8,97,-38.55,38.91,12.66
6,jamestown,36,60,-33.21,54.75,14.34
7,lindi,0,78,-10.0,66.27,6.29
8,kahului,40,65,20.89,80.53,16.11
9,tacoronte,44,93,28.48,65.71,20.8
10,barrow,44,90,-38.31,38.37,12.66
11,saint-philippe,1,53,45.36,74.66,4.7
12,biloela,0,51,-24.4,64.65,4.38
13,gigmoto,48,97,13.78,84.09,21.5
14,teya,75,55,21.05,87.8,6.93
15,fairbanks,1,34,64.84,79.97,3.36
16,hilo,75,74,19.71,74.03,12.75
17,zelenoborskiy,36,57,66.84,70.23,6.4
18,beyneu,0,42,45.32,83.28,8.75
19,portland,1,30,45.52,80.08,9.17
20,busselton,32,100,-33.64,61.77,30.56
21,butaritari,88,100,3.07,85.44,5.61
22,chokurdakh,0,80,70.62,47.91,11.77
23,vestmannaeyjar,92,100,63.44,48.9,10.42
24,new norfolk,0,61,-42.78,48.2,6.93
25,kavaratti,80,96,10.57,82.83,25.64
26,laguna,20,34,27.52,96.8,10.29
27,klaksvik,76,100,62.23,51.8,4.7
28,port alfred,0,64,-33.59,66.0,11.99
29,albany,75,47,42.65,71.1,4.7
30,mulege,0,54,26.88,87.51,1.92
31,metro,20,81,-5.11,84.9,4.38
32,punta arenas,40,100,-53.16,32.0,12.75
33,moindou,75,57,-21.69,75.2,11.41
34,upernavik,20,98,72.79,39.27,8.52
35,yellowknife,75,53,62.45,71.6,19.46
36,ushuaia,40,64,-54.81,33.8,6.93
37,bandarbeyla,0,80,9.49,76.44,25.64
38,puerto ayora,44,100,-0.74,71.76,15.79
39,san juan,20,78,18.47,82.4,11.41
40,torbay,90,56,47.66,68.0,12.75
41,ancud,8,90,-41.87,35.67,5.73
42,leninskoye,75,93,54.82,51.8,4.47
43,rehoboth,0,65,-23.31,42.33,8.97
44,swan hill,48,93,-35.34,52.59,11.99
45,atuona,36,100,-9.8,80.04,21.27
46,bethel,75,60,60.79,69.8,8.05
47,cidreira,0,92,-30.17,42.6,3.38
48,dogondoutchi,0,91,13.64,71.49,6.62
49,uruzgan,12,38,32.93,67.35,2.71
50,alofi,0,61,-19.06,77.0,13.87
51,port lincoln,92,73,-34.72,61.77,24.29
52,arraial do cabo,12,97,-22.97,70.05,13.56
53,chicama,75,88,-7.84,64.4,6.93
54,nikolskoye,90,93,59.7,66.2,2.24
55,kapaa,40,62,22.08,84.2,17.22
56,norman wells,90,59,65.28,64.4,10.29
57,leningradskiy,44,72,69.38,47.19,6.51
58,makakilo city,40,45,21.35,84.18,9.17
59,isangel,88,100,-19.55,73.65,8.97
60,hermanus,0,50,-34.42,54.84,5.61
61,cumpas,56,76,30.0,74.55,0.36
62,east london,0,96,-33.02,69.15,12.77
63,vaini,92,98,15.34,71.04,8.41
64,ekibastuz,92,100,51.72,56.37,18.59
65,mataura,92,100,-46.19,42.78,17.02
66,dikson,92,100,73.51,43.77,8.19
67,avarua,75,88,-21.21,77.0,4.7
68,tiksi,44,63,71.64,51.96,12.21
69,kyzyl-suu,8,87,42.34,66.45,4.94
70,saint-francois,0,82,46.42,62.6,2.71
71,bredasdorp,0,68,-34.53,62.85,11.99
72,nalut,0,30,31.86,74.64,8.3
73,ambilobe,8,69,-13.19,68.7,9.75
74,saint george,0,73,39.45,69.8,1.48
75,iquitos,40,94,-3.75,75.2,4.72
76,chuy,0,94,-33.69,37.83,3.71
77,ostersund,76,93,63.18,57.2,13.87
78,maksatikha,32,92,57.8,68.52,9.75
79,hobart,0,61,-42.88,48.2,6.93
80,mahon,40,87,51.89,60.8,9.17
81,kruisfontein,0,71,-34.0,59.7,7.18
82,yenagoa,64,96,4.92,72.84,2.93
83,lavrentiya,92,90,65.58,45.03,10.76
84,cayenne,44,100,4.94,73.4,2.24
85,borba,0,88,38.81,60.24,8.3
86,pangnirtung,0,67,66.15,48.27,10.2
87,labytnangi,0,50,66.66,71.49,6.4
88,maceio,20,88,-9.67,69.8,2.24
89,katobu,76,95,-4.94,80.94,4.61
90,sambava,92,100,-14.27,71.94,18.7
91,gat,20,88,14.69,75.27,6.62
92,cherskiy,0,64,68.75,46.38,7.4
93,lovington,1,14,32.94,95.0,11.41
94,sana,44,98,4.87,69.24,2.37
95,iqaluit,75,62,63.75,55.4,6.93
96,kavieng,36,100,-2.57,84.72,10.98
97,clyde river,1,76,70.47,50.0,4.7
98,miles city,1,48,46.41,82.4,9.17
99,mount gambier,20,78,-37.83,54.75,10.76
100,vanimo,20,100,-2.67,84.0,11.77
101,victoria,75,74,5.28,83.17,3.36
102,ardesen,0,94,41.19,68.0,10.29
103,maloy,8,59,1.0,88.14,4.72
104,jerome,40,35,34.75,77.25,12.75
105,formiga,36,67,-20.46,61.5,5.39
106,cape town,0,72,-33.93,65.55,16.46
107,kungurtug,68,74,50.6,58.98,3.49
108,polewali,88,84,-4.03,81.57,12.1
109,mahajanga,40,73,-15.72,69.8,4.7
110,pandan,36,100,11.72,81.21,23.06
111,inirida,92,100,3.87,70.59,1.48
112,broome,8,82,52.47,59.74,2.24
113,horta,56,83,41.43,75.24,5.06
114,maragogi,80,89,-9.01,72.84,8.19
115,ponta do sol,20,73,-20.63,58.44,3.38
116,carnarvon,0,67,-30.97,38.82,9.64
117,saskylakh,88,84,71.97,50.7,17.47
118,husavik,8,67,50.56,69.78,7.18
119,constitucion,90,31,23.99,75.2,10.29
120,tura,56,89,25.52,82.47,4.16
121,sinnamary,92,96,5.38,80.76,9.98
122,uusikaupunki,0,100,60.8,59.0,2.24
123,srednekolymsk,12,55,67.46,55.74,3.38
124,bonthe,92,100,7.53,73.92,4.61
125,ahipara,88,92,-35.17,57.72,13.67
126,kieta,44,91,-6.22,82.2,7.18
127,mae ramat,75,94,16.98,75.2,1.12
128,naters,0,88,46.32,53.53,1.12
129,khatanga,36,93,71.98,53.85,11.77
130,lagoa,0,60,37.14,69.8,3.36
131,lodwar,76,65,3.12,72.12,5.95
132,sassandra,92,100,4.95,76.71,10.98
133,hithadhoo,8,100,-0.6,79.86,7.4
134,ribeira grande,44,100,38.52,72.57,15.01
135,dunedin,8,52,-45.87,47.64,13.33
136,touros,88,97,-5.2,73.56,14.0
137,san patricio,0,86,-26.98,40.35,3.38
138,luderitz,0,63,-26.65,58.62,4.38
139,loudi,76,78,27.73,90.3,1.92
140,formosa,0,93,-26.19,46.4,5.82
141,malanje,0,68,-9.54,55.29,6.4
142,saldanha,0,90,41.42,55.11,5.5
143,sitka,20,39,37.17,88.14,12.55
144,awbari,0,25,26.59,74.91,9.08
145,aykhal,68,55,65.95,49.35,6.96
146,japura,56,76,-0.42,84.72,3.94
147,cabo san lucas,5,38,22.89,90.59,10.29
148,margate,0,61,-43.03,48.2,6.93
149,mitchell,1,57,43.71,80.6,5.82
150,qaanaaq,76,100,77.48,34.59,5.5
151,mitu,0,66,36.2,54.66,1.7
152,sao joao da barra,0,96,-21.64,74.82,20.04
153,avera,1,83,33.19,80.62,3.36
154,zhucheng,0,62,30.85,89.6,4.47
155,severo-kurilsk,88,94,50.68,53.04,8.08
156,kodiak,1,58,39.95,82.4,9.17
157,presidencia roque saenz pena,24,76,-26.79,43.05,10.65
158,platteville,90,94,42.73,71.94,11.41
159,robertsport,92,100,6.75,76.26,9.64
160,samfya,0,86,-11.37,53.31,11.99
161,oktyabrskiy,75,88,55.61,68.0,11.18
162,brae,88,87,60.4,54.61,20.8
163,pevek,92,100,69.7,41.61,26.87
164,juneau,20,50,58.3,75.2,10.29
165,belaya gora,20,63,68.54,53.85,4.16
166,esperance,20,78,10.24,80.6,11.41
167,kermanshah,0,24,34.32,66.2,4.7
168,bam,0,21,29.11,77.97,2.37
169,paamiut,88,97,61.99,40.17,22.84
170,caravelas,56,100,-17.73,75.27,8.97
171,marzuq,76,55,14.4,73.65,6.73
172,uyovu,0,83,-3.28,57.54,9.75
173,lebu,75,93,8.96,57.2,3.36
174,high level,75,64,58.52,69.8,5.82
175,sena madureira,0,74,-9.07,71.67,4.94
176,nacala,36,92,-14.56,74.82,11.21
177,coihaique,40,64,-45.58,32.0,8.05
178,karachi,40,74,24.87,82.4,9.17
179,westport,92,98,53.8,59.97,7.96
180,gusinoye ozero,12,77,51.11,66.54,3.71
181,alice springs,0,19,-23.7,69.8,14.99
182,mehran,0,21,33.12,85.35,9.08
183,kondoa,32,93,-4.91,49.89,4.38
184,luba,92,99,17.32,75.09,5.28
185,port elizabeth,90,100,39.31,70.95,20.8
186,tabuk,20,76,17.41,78.06,5.39
187,tuktoyaktuk,75,76,69.44,55.4,12.75
188,provideniya,100,100,64.42,44.76,10.2
189,souillac,0,93,45.6,59.0,2.24
190,saint anthony,1,23,43.97,85.98,12.75
191,mayumba,56,95,-3.44,68.79,4.61
192,mar del plata,0,79,-46.43,37.47,16.69
193,barranca,56,100,-10.75,60.87,13.33
194,tambun,75,83,4.62,79.84,3.36
195,ostrovnoy,8,57,68.05,72.57,12.77
196,imbituba,0,100,-28.24,50.0,2.24
197,hofn,80,98,64.25,50.43,1.03
198,furth im wald,90,93,49.31,62.6,1.12
199,cubuk,0,72,40.24,64.47,6.93
200,lata,64,100,30.78,63.75,1.36
201,taoudenni,100,12,22.68,91.83,7.63
202,kikwit,0,54,-5.04,63.84,6.62
203,rabo de peixe,75,88,37.8,69.8,11.41
204,mosquera,75,71,4.71,57.2,4.7
205,namibe,0,99,-15.19,66.54,5.17
206,dukat,44,87,42.44,56.55,1.92
207,tasiilaq,8,81,65.61,44.6,1.12
208,wilhelmsburg,48,92,48.11,59.61,5.84
209,tuy hoa,64,68,13.08,88.59,20.6
210,college,1,34,64.86,79.97,3.36
211,sangar,92,56,63.92,68.52,6.62
212,lasa,36,88,34.92,78.8,3.36
213,baisha,100,98,19.23,74.46,8.41
214,ilulissat,75,86,69.22,39.2,2.24
215,saint-joseph,0,88,43.56,69.76,3.36
216,port keats,0,33,-14.25,83.64,15.46
217,san cristobal,75,76,-0.39,55.4,18.34
218,barahona,0,100,18.21,81.39,8.97
219,sao filipe,0,98,14.9,75.81,12.21
220,tecoanapa,75,74,16.99,86.0,9.17
221,makokou,12,98,0.56,69.06,2.59
222,gizo,40,69,31.8,78.8,6.93
223,batemans bay,0,82,-35.71,53.49,1.59
224,grindavik,75,100,63.84,47.35,10.29
225,paita,36,79,-5.09,67.8,8.19
226,port hardy,75,77,50.7,60.8,10.29
227,praya,75,78,-8.71,82.4,12.75
228,dingle,92,96,11.0,79.14,11.88
229,barra patuca,92,100,15.8,79.5,16.46
230,bela vista,44,59,-22.11,51.96,3.94
231,belonia,92,98,23.25,76.8,14.0
232,maldonado,0,81,-34.91,42.8,4.7
233,tautira,40,83,-17.73,77.0,26.4
234,ballitoville,0,81,-29.54,52.05,6.4
235,surenavan,0,49,39.75,71.6,4.7
236,huilong,20,74,28.89,87.6,3.15
237,kristiansund,48,71,63.12,55.4,2.24
238,geraldton,90,63,49.72,64.4,11.41
239,osinki,0,90,54.14,60.06,3.6
240,riachao,0,47,-7.36,70.5,7.4
241,tadine,64,93,-21.55,72.39,8.41
242,novoukrayinka,12,96,48.33,64.29,8.52
243,iturama,24,71,-19.73,64.65,6.4
244,wuwei,64,73,37.93,70.68,4.27
245,rocha,0,85,-34.48,33.6,2.93
246,bilibino,92,98,68.06,55.65,3.6
247,kununurra,0,11,-15.77,78.8,6.93
248,georgetown,20,88,6.8,78.8,4.7
249,harlingen,1,59,26.19,89.6,14.99
250,pak phanang,20,66,8.35,86.0,2.24
251,rudnaya pristan,92,90,44.36,71.4,2.71
252,xichang,88,94,27.88,62.31,1.59
253,faanui,88,100,-16.48,77.61,2.93
254,taiyuan,24,65,37.86,82.4,4.47
255,sulecin,0,87,52.44,57.2,1.12
256,pringsewu,24,84,-5.36,80.94,2.93
257,khanpur,44,67,28.65,89.49,9.08
258,bathsheba,40,69,13.22,80.6,23.04
259,youhao,12,78,47.86,83.82,5.39
260,rio grande,0,100,-32.03,43.77,2.82
261,sorland,0,100,67.67,53.49,2.71
262,longyearbyen,75,81,78.22,42.8,9.17
263,sesheke,0,84,-17.47,47.82,5.39
264,santa rosa,0,48,-36.62,43.77,7.4
265,wanning,75,82,48.64,66.2,6.93
266,boueni,75,78,-12.9,77.0,11.41
267,zhigansk,88,52,66.77,51.87,8.75
268,hirara,75,83,24.8,86.04,13.87
269,port blair,64,98,11.67,82.74,22.5
270,smirnykh,88,78,49.74,62.04,9.75
271,nata,36,88,34.78,78.8,3.36
272,beloha,0,88,-25.17,62.04,13.89
273,pisco,0,88,-13.71,62.6,14.99
274,blythe,1,29,33.61,98.6,11.41
275,quatre cocos,40,77,-20.21,69.8,14.99
276,manyana,0,100,-35.26,53.6,9.17
277,castro,32,100,-42.48,33.87,5.5
278,adet,88,94,11.26,55.02,3.04
279,minab,20,84,27.15,86.0,6.93
280,eyrarbakki,90,87,63.86,48.2,9.17
281,hambantota,64,91,6.12,82.65,17.69
282,saint-pierre,68,93,48.95,57.2,5.82
283,hamilton,80,83,32.3,78.8,11.41
284,oistins,40,69,13.07,80.6,23.04
285,carutapera,0,86,-1.2,78.42,7.74
286,airai,24,61,-8.93,79.23,2.04
287,blackwater,32,77,51.33,62.13,3.36
288,ann arbor,40,88,42.27,71.35,4.7
289,araouane,0,35,18.9,81.84,9.19
290,vila velha,0,83,-3.71,80.6,13.87
291,zenzeli,0,63,45.92,77.52,9.08
292,fushun,0,74,41.89,84.2,8.95
293,verkh-usugli,80,91,52.7,63.12,7.85
294,zabaykalsk,8,70,49.64,72.39,15.12
295,batamshinskiy,0,76,50.56,57.2,15.66
296,kitgum,100,97,3.3,64.02,3.27
297,amapa,75,94,15.09,82.4,10.29
298,san carlos de bariloche,90,92,-41.13,30.2,18.34
299,sovetskiy,0,80,56.76,63.3,13.0
300,kurduvadi,88,95,18.09,75.0,13.78
301,dingli,40,100,35.86,77.0,9.17
302,lincoln,48,82,53.23,60.39,4.7
303,ouargaye,64,90,11.5,73.83,5.39
304,inta,8,72,66.04,67.71,4.5
305,nome,1,74,30.04,86.45,8.05
306,ocean city,1,89,30.44,86.02,6.93
307,hohhot,0,69,40.81,77.0,4.47
308,codrington,0,68,-28.95,60.69,3.49
309,samarai,48,100,-10.62,77.43,15.23
310,manadhoo,44,100,5.77,79.5,13.22
311,antalaha,92,97,-14.9,69.51,11.77
312,nabire,56,90,-3.36,75.99,2.71
313,san,36,95,13.3,73.47,9.98
314,nanortalik,88,100,60.14,38.19,24.74
315,bridlington,64,82,54.08,60.21,4.7
316,yantal,44,75,56.85,56.46,3.38
317,miranda de ebro,75,93,42.69,58.78,2.15
318,fuyang,75,100,30.05,78.8,13.42
319,bilma,56,28,18.69,81.12,3.38
320,churapcha,92,59,62.0,69.42,8.41
321,contamana,92,96,-7.35,71.13,2.37
322,seoul,0,59,37.57,89.6,4.7
323,santo nino,90,94,15.34,78.8,6.93
324,palu,20,81,-0.9,76.53,2.04
325,atar,0,40,20.52,81.57,5.61
326,kaitangata,64,68,-46.28,46.47,26.53
327,naryan-mar,8,59,67.67,66.09,12.21
328,melilla,90,88,-0.8,71.6,11.41
329,meulaboh,12,100,4.14,82.29,2.59
330,porto belo,40,77,-27.15,54.99,4.7
331,monrovia,75,94,6.33,75.2,7.63
332,beidao,32,90,34.57,74.64,5.61
333,sabzevar,0,31,36.21,77.97,2.48
334,auki,48,97,12.18,69.87,6.29
335,djambala,0,91,-2.55,65.91,6.73
336,praia da vitoria,75,94,38.73,69.8,15.57
337,itabira,0,68,-19.62,66.2,9.17
338,crotone,48,95,39.09,80.04,10.98
339,fayaoue,64,100,-20.65,72.12,11.77
340,kinablangan,32,97,7.69,85.53,1.92
341,te anau,92,97,-45.41,38.55,7.18
342,cockburn town,8,99,21.46,82.2,17.69
343,ballina,80,98,54.11,59.97,7.18
344,marsa matruh,0,94,31.35,71.4,8.63
345,douentza,44,89,15.01,75.99,5.17
346,bushenyi,44,67,-0.54,60.87,5.95
347,cabedelo,0,78,-6.97,75.2,9.17
348,ambulu,48,95,-8.35,76.35,3.6
349,macenta,92,99,8.55,67.35,2.15
350,khani,92,93,41.96,66.2,4.7
351,matay,0,63,28.42,74.82,9.19
352,zhanaozen,0,54,43.35,80.49,12.21
353,vigrestad,75,87,58.57,55.4,4.7
354,tiarei,40,83,-17.53,77.0,26.4
355,rock springs,20,20,41.59,82.4,11.41
356,vila,0,88,45.18,63.52,3.36
357,nambucca heads,0,44,-30.64,60.8,8.05
358,batagay,76,75,67.65,51.69,4.27
359,pacific grove,90,88,36.62,66.76,11.41
360,solnechnyy,80,67,50.72,66.27,3.6
361,sur,0,82,22.57,88.41,5.61
362,salalah,90,100,17.01,75.2,4.7
363,omboue,48,100,-1.57,72.39,8.86
364,la ronge,75,60,55.1,73.4,11.41
365,kamina,0,69,-8.74,53.4,5.73
366,duobao,0,66,30.67,94.98,6.62
367,anchorage,40,53,61.22,73.15,9.17
368,alyangula,20,85,-13.85,76.8,18.25
369,talnakh,36,57,69.49,57.99,9.64
370,sioux lookout,75,72,50.1,66.2,3.36
371,ormara,88,92,25.21,82.29,9.64
372,nelson,40,18,49.49,82.4,11.41
373,lethem,20,97,3.38,73.38,3.94
374,suleja,40,88,9.18,71.6,2.04
375,orange cove,1,30,36.62,97.92,6.93
376,birao,56,83,10.3,73.38,6.85
377,alexandria,1,55,31.31,87.15,9.17
378,kalat,0,33,29.03,72.93,3.49
379,narsaq,75,75,60.91,46.4,4.7
380,yeppoon,0,30,-23.13,71.6,9.17
381,yerbogachen,80,70,61.28,52.5,6.06
382,nola,92,96,3.52,69.15,1.81
383,coquimbo,0,87,-29.95,51.8,4.7
384,lorengau,56,98,-2.02,83.82,11.21
385,okha,0,93,53.59,60.24,13.22
386,krasnoturansk,0,72,54.32,64.4,2.24
387,manta,0,89,45.1,56.01,2.71
388,havre-saint-pierre,40,82,50.23,62.6,3.36
389,puerto ayacucho,48,94,5.66,73.56,2.37
390,cap malheureux,40,77,-19.98,69.8,14.99
391,poum,0,88,41.28,52.14,1.7
392,chapais,1,50,49.78,75.2,5.82
393,negotin,24,88,44.23,64.92,3.71
394,tupik,92,98,54.43,63.3,5.84
395,sokoto,24,95,13.06,70.5,5.84
396,comodoro rivadavia,0,100,-45.87,44.6,10.29
397,manokwari,8,98,-0.87,83.82,3.15
398,haines junction,56,31,60.75,71.85,2.37
399,cadillac,90,93,44.25,68.79,9.17
400,thompson,75,56,55.74,69.8,3.36
401,rondonopolis,36,69,-16.46,64.47,4.72
402,matara,64,99,-13.74,38.37,2.04
403,palmer,20,56,61.6,73.15,6.93
404,sao domingos,0,55,-13.4,63.12,8.3
405,erdenet,12,72,49.03,63.21,3.71
406,xuddur,12,79,4.12,67.35,11.99
407,vagur,76,98,61.47,52.5,17.69
408,nishihara,75,59,35.74,91.83,2.24
409,sobolevo,80,99,54.43,64.47,4.38
410,port-gentil,64,100,-0.72,73.02,9.98
411,kasongo-lunda,0,83,-6.48,60.6,2.37
412,ketchikan,1,60,55.34,67.93,11.41
413,puerto del rosario,0,77,28.5,69.8,14.99
414,dvinskoy,0,54,62.16,67.8,6.17
415,guerrero negro,0,82,27.97,72.12,11.77
416,hassleholm,24,100,56.16,53.02,6.51
417,verkhneyarkeyevo,0,65,55.45,61.77,12.33
418,chartres,0,87,48.45,59.72,2.24
419,almaznyy,24,90,48.03,69.33,4.27
420,kamenka,76,98,53.19,67.08,8.41
421,arona,0,88,45.76,55.72,3.36
422,arlit,0,43,18.74,81.75,10.98
423,afsin,0,84,38.25,52.32,5.17
424,marsh harbour,12,97,26.54,84.9,9.42
425,yarim,48,89,14.3,52.68,1.36
426,chara,0,73,39.42,69.8,1.48
427,basco,1,73,40.33,75.58,6.93
428,mahebourg,40,77,-20.41,69.8,14.99
429,sabang,44,91,13.72,83.37,18.92
430,sulangan,20,100,11.14,84.27,22.06
431,etchoropo,64,50,26.77,91.74,6.06
432,pitsunda,44,88,43.16,68.0,8.95
433,mazyr,68,97,52.05,64.29,6.62
434,djibo,44,87,14.1,77.52,11.99
435,aklavik,75,42,68.22,66.2,5.82
436,dargaville,76,87,-35.94,58.35,15.35
437,mehamn,68,81,71.03,62.94,7.18
438,borogontsy,92,57,62.67,69.69,7.63
439,flinders,0,57,-34.58,53.6,9.17
440,wollongong,0,38,-34.42,56.21,8.05
441,shenjiamen,92,99,29.96,80.85,18.48
442,huarmey,0,92,-10.07,53.67,3.83
443,nyurba,100,94,63.29,49.44,8.19
444,los llanos de aridane,36,77,28.66,69.8,18.34
445,pontalina,0,70,-17.52,60.06,3.94
446,puerto escondido,75,70,15.86,86.0,3.36
447,muhos,100,100,64.81,66.2,8.05
448,putatan,75,55,5.88,87.8,8.05
449,beringovskiy,80,100,63.05,49.8,8.41
450,bosaso,64,83,11.28,88.59,26.31
451,carmen,12,61,7.2,89.04,4.72
452,vohibinany,92,100,-17.35,61.77,2.93
453,qasigiannguit,75,86,68.82,39.2,2.24
454,chuzhou,40,66,32.25,87.8,11.18
455,cizre,0,66,37.33,68.52,1.36
456,iisaku,68,98,59.1,67.8,5.84
457,ekpoma,92,98,6.74,69.24,2.71
458,san juan nepomuceno,8,77,-26.11,44.67,2.37
459,sola,75,87,58.89,56.41,4.7
460,natal,75,78,-5.81,75.2,10.29
461,tanout,0,85,14.97,74.91,8.63
462,varkkallai,92,95,8.73,75.45,8.19
463,teguldet,76,70,57.31,62.04,7.96
464,terrace bay,80,68,48.78,56.55,11.65
465,male,92,100,50.74,63.75,4.5
466,ayan,24,96,40.67,51.15,2.37
467,wawa,32,95,9.9,70.32,2.93
468,wilmington,90,94,39.75,66.25,20.8
469,acapulco,75,74,16.86,86.0,9.17
470,oksfjord,0,72,70.24,66.2,2.24
471,shimoda,40,79,34.7,87.8,14.99
472,krasnoarmeysk,90,94,56.12,68.0,11.18
473,touzim,92,100,50.06,60.94,3.36
474,moron,40,78,10.49,78.8,2.15
475,dwarka,88,100,28.58,77.52,5.61
476,dickinson,20,57,46.88,77.0,14.99
477,bensonville,75,94,6.45,75.2,7.63
478,trairi,24,98,-3.28,80.04,23.51
479,tessalit,0,29,20.2,71.22,7.85
480,saint-leu,0,72,-21.15,68.0,13.87
481,lesnoy,0,59,59.78,63.12,5.84
482,atambua,0,81,-9.11,83.64,5.95
483,pareora,0,76,-44.49,47.55,13.11
484,kaeo,48,88,-35.1,57.45,11.43
485,suluova,0,82,40.83,60.8,5.82
486,karpathos,0,83,35.51,77.0,27.51
487,manica,88,100,-18.94,53.04,2.26
488,port hedland,0,60,-20.31,73.4,9.17
489,fortuna,75,88,38.18,77.0,6.93
490,taltal,36,86,-25.41,48.99,4.38
491,umm lajj,0,100,25.02,77.61,4.61
492,salinopolis,12,95,-0.61,81.12,14.45
493,nilagiri,88,100,21.46,79.05,7.07
494,chumikan,32,77,54.72,59.25,7.96
495,luganville,68,99,-15.51,78.87,8.86
496,buchanan,75,94,5.88,75.2,6.4
497,hovd,0,87,63.83,52.54,6.93
498,komsomolskiy,0,53,67.55,72.3,11.65
499,kibungo,20,67,-2.14,62.6,1.12
500,ochamchira,92,100,42.71,73.65,1.7
501,yuanli,75,70,24.44,86.0,1.12
502,pangody,0,40,65.85,74.82,9.64
503,berlevag,80,78,70.86,62.04,6.17
504,lichinga,64,100,-13.3,48.09,5.06
505,mount isa,0,14,-20.73,66.2,6.93
506,puerto colombia,75,78,10.99,82.4,11.41
507,plettenberg bay,0,84,-34.05,66.63,10.87
508,tabas,0,17,33.6,78.69,4.72
509,brooks,36,21,50.57,76.08,11.77
510,vrnograc,20,88,45.16,66.2,3.36
511,puerto baquerizo moreno,88,100,-0.9,72.57,15.68
512,angoche,36,100,-16.23,76.17,12.33
513,henties bay,0,53,-22.12,70.5,20.04
514,hami,24,40,42.84,85.98,6.17
515,jalu,0,43,29.03,74.55,4.38
516,rio gallegos,90,100,-51.62,32.0,8.05
517,kanata,75,44,45.32,76.93,9.17
518,pokhara,8,71,28.21,71.76,1.14
519,antigonish,90,100,45.62,60.8,10.29
520,nouadhibou,0,78,20.93,71.6,17.22
521,inzer,0,63,54.22,56.82,9.08
522,boyolangu,0,58,-8.09,84.09,7.18
523,fuling,0,72,29.71,90.66,3.27
524,tawang,0,69,27.59,58.8,1.14
525,sumkino,0,59,58.11,58.71,8.08
526,ust-koksa,8,75,50.27,58.71,2.37
527,kichera,8,73,55.93,56.46,2.59
528,katsuura,20,70,33.93,87.8,5.82
529,lodja,20,59,-3.52,68.88,2.93
530,san andres,92,100,13.32,78.87,23.06
531,atouguia da baleia,75,82,39.34,65.17,8.05
532,virginia beach,90,88,36.85,70.95,9.17
533,raigarh,76,97,21.9,79.23,7.18
534,upata,20,96,8.02,70.59,4.38
535,ust-tsilma,0,66,65.44,66.0,3.6
536,klyuchi,92,100,52.25,58.71,13.89
537,nanakuli,1,54,21.39,84.18,18.34
538,corinto,0,65,-18.36,61.23,6.51
539,finschhafen,56,86,-6.6,76.08,3.94
540,bambous virieux,40,77,-20.34,69.8,14.99
